mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
16.752228418986004,0.9994012280695878,0.2774706681569417,0.022118020490465608,0.6,3,6,0.03,0.2,1.0,"{'subsample': 0.6, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.2, 'colsample_bytree': 1.0}",-44.67004549039177,-42.76466844447251,-52.15157327504167,-46.52876240330198,4.051305715140449,4
9.886800607045492,0.33324943967184184,0.12963716189066568,0.006403621505093559,1.0,5,3,0.05,0.2,0.6,"{'subsample': 1.0, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.6}",-47.02616474411745,-44.733921796834274,-54.08892784367028,-48.61633812820734,3.9812496428203246,23
13.969158490498861,0.44587504218695445,0.21598196029663086,0.016236746222341895,0.6,10,5,0.03,0.2,1.0,"{'subsample': 0.6, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.2, 'colsample_bytree': 1.0}",-45.48035093849865,-43.546521342493115,-52.84908278943026,-47.29198502347401,4.0079858542576146,13
14.343282699584961,0.3009357946958429,0.21175599098205566,0.004432663171859452,0.6,10,5,0.03,0.1,0.8,"{'subsample': 0.6, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.8}",-45.38684952143312,-43.38197674408038,-52.72620466564077,-47.16501031038476,4.01663546649357,12
12.43251101175944,0.11051317131207208,0.17902731895446777,0.02335385253771316,1.0,5,3,0.02,0.0,0.8,"{'subsample': 1.0, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.02, 'gamma': 0.0, 'colsample_bytree': 0.8}",-49.839239822120035,-46.27646047779684,-55.79136050526434,-50.63568693506041,3.9250542786869898,26
19.01211404800415,1.6059396674933248,0.2913986047108968,0.01405795067456045,0.8,3,6,0.02,0.1,1.0,"{'subsample': 0.8, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.02, 'gamma': 0.1, 'colsample_bytree': 1.0}",-45.1033931184139,-43.084236065448664,-52.61487759676941,-46.93416892687733,4.1005761420622475,10
26.296600500742596,1.932074635972959,0.48147281010945636,0.033243854057062004,0.8,3,8,0.05,0.0,1.0,"{'subsample': 0.8, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 1.0}",-44.52112110365639,-42.44678052495979,-52.20774042180913,-46.3918806834751,4.198721280031804,3
23.446723302205402,1.5991149697190055,0.2924569447835286,0.007519074090201898,0.8,1,6,0.01,0.1,1.0,"{'subsample': 0.8, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 1.0}",-46.519699402890005,-44.45609678201667,-53.880169480892405,-48.2853218885997,4.044861236182397,22
15.491165717442831,1.134209930945122,0.2754662831624349,0.06509797297787696,1.0,1,5,0.05,0.0,0.8,"{'subsample': 1.0, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.8}",-44.99770815779408,-43.43650431201364,-52.51857228234342,-46.98426158405038,3.9649115619351476,11
25.444121917088825,2.7820499279689828,0.5730206966400146,0.11841964790178083,0.6,10,8,0.05,0.2,1.0,"{'subsample': 0.6, 'min_child_weight': 10, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 1.0}",-44.83993733572257,-42.5609294845632,-52.219764747944566,-46.54021052274344,4.122416066997723,5
14.015549898147583,1.2054583115936217,0.24126807848612467,0.0661574711659553,1.0,1,4,0.05,0.2,0.6,"{'subsample': 1.0, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.6}",-45.57179131732163,-43.78256419482092,-52.94454345831342,-47.432966323485324,3.9651351644757287,15
18.670991897583008,1.3527332747415548,0.2695148785909017,0.014122045938947118,0.8,5,5,0.02,0.2,1.0,"{'subsample': 0.8, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.02, 'gamma': 0.2, 'colsample_bytree': 1.0}",-45.905182577778525,-43.85532682157159,-53.26084662745473,-47.67378534226828,4.03830967184998,18
19.538108030954998,0.5610945433329949,0.3452412287394206,0.023026200197645855,0.6,1,6,0.02,0.0,0.6,"{'subsample': 0.6, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.02, 'gamma': 0.0, 'colsample_bytree': 0.6}",-44.97842560953113,-42.878324337359246,-52.406133547696804,-46.754294498195726,4.087384642159615,8
17.337323029836018,0.9432749678960148,0.25035397211710614,0.022742711012893158,0.6,1,5,0.05,0.1,0.8,"{'subsample': 0.6, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.8}",-44.68137414499486,-42.922651529888185,-52.42490508166084,-46.6763102521813,4.127794664980412,6
18.330487807591755,0.7266235343680179,0.2895829677581787,0.015408288315263323,0.6,3,5,0.02,0.2,0.6,"{'subsample': 0.6, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.02, 'gamma': 0.2, 'colsample_bytree': 0.6}",-45.78667814731323,-43.68788667507973,-53.22682603414115,-47.567130285511375,4.0927047606095,16
17.21278405189514,0.8617568916817534,0.2701419194539388,0.025218073039857604,0.6,3,4,0.03,0.0,0.6,"{'subsample': 0.6, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.03, 'gamma': 0.0, 'colsample_bytree': 0.6}",-46.09799286225028,-44.06970347154153,-53.38806863902075,-47.85192165760419,4.001264967732181,19
23.144347826639812,0.7675708992695387,0.4019053777058919,0.09943604402221592,1.0,3,5,0.01,0.0,0.6,"{'subsample': 1.0, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.0, 'colsample_bytree': 0.6}",-48.32707373515095,-45.3383328767742,-54.433678129481486,-49.36636158046888,3.7851830194021368,24
18.674444278081257,0.39193856711684,0.27513869603474933,0.020601809638021613,0.6,10,4,0.05,0.0,1.0,"{'subsample': 0.6, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 1.0}",-45.57026303239642,-43.52161731035181,-53.059311068365005,-47.383730470371084,4.099463271117067,14
26.238808631896973,0.40401645338322384,0.47181542714436847,0.016294692221582637,0.6,10,6,0.03,0.1,1.0,"{'subsample': 0.6, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 1.0}",-45.022243367841305,-42.92971872659087,-52.188532480346296,-46.71349819159283,3.9645651456227196,7
22.813099543253582,1.1116045433193633,0.3159267107645671,0.035281440875482545,1.0,5,4,0.01,0.2,1.0,"{'subsample': 1.0, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 1.0}",-49.72047731098279,-46.48722321771485,-56.173622481633984,-50.79377433677721,4.0266245213741705,27
